"month_num","date","mean_temp"
1,1960-01-01,4.71
2,1960-02-01,4.3
3,1960-03-01,2.64
4,1960-04-01,4.81
5,1960-05-01,10.28
6,1960-06-01,15.18
7,1960-07-01,19.02
8,1960-08-01,19.26
9,1960-09-01,16.88
10,1960-10-01,13.5
11,1960-11-01,10.31
12,1960-12-01,6.95
13,1961-01-01,4.86
14,1961-02-01,3.35
15,1961-03-01,3.1
16,1961-04-01,4.12
17,1961-05-01,7.44
18,1961-06-01,12.55
19,1961-07-01,17.27
20,1961-08-01,18.77
21,1961-09-01,17.49
22,1961-10-01,13.09
23,1961-11-01,10.42
24,1961-12-01,7.85
25,1962-01-01,4.87
26,1962-02-01,3.61
27,1962-03-01,3.19
28,1962-04-01,5.09
29,1962-05-01,8.67
30,1962-06-01,14.13
31,1962-07-01,17.92
32,1962-08-01,18.4
33,1962-09-01,16.17
34,1962-10-01,13.14
35,1962-11-01,9.56
36,1962-12-01,7.22
37,1963-01-01,4.66
38,1963-02-01,3.31
39,1963-03-01,3.64
40,1963-04-01,5.18
41,1963-05-01,8.56
42,1963-06-01,14.02
43,1963-07-01,17.07
44,1963-08-01,18.09
45,1963-09-01,15.93
46,1963-10-01,12.98
47,1963-11-01,10.44
48,1963-12-01,6.91
49,1964-01-01,4.54
50,1964-02-01,2.87
51,1964-03-01,2.85
52,1964-04-01,4.78
53,1964-05-01,8.92
54,1964-06-01,13.25
55,1964-07-01,17.18
56,1964-08-01,17.47
57,1964-09-01,15.65
58,1964-10-01,12.11
59,1964-11-01,9.32
60,1964-12-01,6.45
61,1965-01-01,4
62,1965-02-01,2.34
63,1965-03-01,1.62
64,1965-04-01,3.88
65,1965-05-01,7.75
66,1965-06-01,12.55
67,1965-07-01,16.15
68,1965-08-01,17.34
69,1965-09-01,15.26
70,1965-10-01,11.47
71,1965-11-01,8.45
72,1965-12-01,6.03
73,1966-01-01,3.97
74,1966-02-01,2.72
75,1966-03-01,2.35
76,1966-04-01,3.74
77,1966-05-01,7.32
78,1966-06-01,12.68
79,1966-07-01,17.41
80,1966-08-01,17.88
81,1966-09-01,15.79
82,1966-10-01,12.53
83,1966-11-01,9.77
84,1966-12-01,7.03
85,1967-01-01,4.54
86,1967-02-01,3.61
87,1967-03-01,2.89
88,1967-04-01,4.36
89,1967-05-01,6.95
90,1967-06-01,12.29
91,1967-07-01,17.36
92,1967-08-01,17.75
93,1967-09-01,15.45
94,1967-10-01,12.51
95,1967-11-01,9.24
96,1967-12-01,6.63
97,1968-01-01,3.89
98,1968-02-01,2.73
99,1968-03-01,2.47
100,1968-04-01,5.05
101,1968-05-01,8.61
102,1968-06-01,13.49
103,1968-07-01,17.46
104,1968-08-01,18.26
105,1968-09-01,16.5
106,1968-10-01,13.44
107,1968-11-01,9.77
108,1968-12-01,7.33
109,1969-01-01,5.25
110,1969-02-01,4.05
111,1969-03-01,3.33
112,1969-04-01,5.05
113,1969-05-01,8.69
114,1969-06-01,13.46
115,1969-07-01,17.85
116,1969-08-01,18.65
117,1969-09-01,16.68
