"well_id","treatment","ind_num","rate","rsq","temp","date"
"A1","Pseudocalanus",1,0.0204357805714391,0.625,5,"2026-02-09"
"A3","Acartia hudsonica",1,0.0188940611448504,0.894,5,"2026-02-09"
"A4","Pseudocalanus",1,0.0291520426066801,0.941,5,"2026-02-09"
"B1","Acartia hudsonica",1,0.00570722260498223,0.563,5,"2026-02-09"
"B2","Pseudocalanus",1,0.025328764600468,0.929,5,"2026-02-09"
"C3","Pseudocalanus",1,0.0393568597773034,0.946,5,"2026-02-09"
"C4","Acartia hudsonica",1,0.040692147555191,0.941,5,"2026-02-09"
"D1","Pseudocalanus",1,0.0229112017256857,0.95,5,"2026-02-09"
"D2","Acartia hudsonica",1,0.024255823900668,0.944,5,"2026-02-09"
"D4","Acartia hudsonica",1,0.0230352098240467,0.894,5,"2026-02-09"
"A1","Acartia hudsonica",1,0.0665838061579585,0.962,16,"2026-02-09"
"A2","Acartia hudsonica",1,0.0710128332102693,0.982,16,"2026-02-09"
"A3","Pseudocalanus",1,0.0357831379759289,0.97,16,"2026-02-09"
"B2","Acartia hudsonica",1,0.0273856019301601,0.734,16,"2026-02-09"
"B4","Acartia hudsonica",1,0.113920743044658,0.908,16,"2026-02-09"
"C2","Pseudocalanus",1,0.0576587302842544,0.851,16,"2026-02-09"
"D1","Acartia hudsonica",1,0.0532149884290374,0.936,16,"2026-02-09"
"D2","Pseudocalanus",1,0.0627469356748943,0.971,16,"2026-02-09"
"D3","Pseudocalanus",1,0.041204355162463,0.978,16,"2026-02-09"
"D4","Pseudocalanus",1,0.00740924274386461,0.412,16,"2026-02-09"
"A1","Pseudocalanus",1,0.00604671659005249,0.875,22,"2026-02-09"
"A2","Pseudocalanus",1,0.00884001937642538,0.761,22,"2026-02-09"
"B2","Pseudocalanus",1,-0.0115641241988736,0.798,22,"2026-02-09"
"C1","Acartia hudsonica",1,0.0606156243120911,0.968,22,"2026-02-09"
"C2","Pseudocalanus",1,-0.000128800453482252,0.0898,22,"2026-02-09"
"C3","Pseudocalanus",1,-0.0228030607227452,0.931,22,"2026-02-09"
"C4","Acartia hudsonica",1,0.0205995549591598,0.943,22,"2026-02-09"
"D1","Acartia hudsonica",1,0.0456553929241372,0.955,22,"2026-02-09"
"D3","Acartia hudsonica",1,0.0562251085767401,0.976,22,"2026-02-09"
"D4","Acartia hudsonica",1,0.0458924039700419,0.993,22,"2026-02-09"
"A2","Acartia hudsonica",1,0.029923305778066,0.988,10,"2026-02-10"
"A4","Acartia hudsonica",1,0.0286589579908947,0.734,10,"2026-02-10"
"B2","Acartia hudsonica",1,0.0229895024877682,0.961,10,"2026-02-10"
"B3","Pseudocalanus",1,0.0350880265339522,0.956,10,"2026-02-10"
"B4","Pseudocalanus",1,0.0625087870997823,0.994,10,"2026-02-10"
"C1","Pseudocalanus",1,0.0367492972118257,0.974,10,"2026-02-10"
"C3","Pseudocalanus",1,0.0542872133042356,0.982,10,"2026-02-10"
"D1","Acartia hudsonica",1,0.0203437436802146,0.915,10,"2026-02-10"
"D2","Acartia hudsonica",1,0.0250073230425563,0.939,10,"2026-02-10"
"D3","Pseudocalanus",1,0.0505651123159407,0.994,10,"2026-02-10"
"A1","Acartia hudsonica",1,0.0326034406588273,0.984,13,"2026-02-10"
"A2","Acartia hudsonica",1,0.0286805952186932,0.911,13,"2026-02-10"
"B3","Pseudocalanus",1,0.0650989774132009,0.995,13,"2026-02-10"
"B4","Pseudocalanus",1,0.055242156975906,0.985,13,"2026-02-10"
"C1","Acartia hudsonica",1,0.0296395103642203,0.981,13,"2026-02-10"
"C2","Pseudocalanus",1,0.0503352640058154,0.991,13,"2026-02-10"
"C3","Acartia hudsonica",1,0.0303328320623012,0.984,13,"2026-02-10"
"D2","Acartia hudsonica",1,0.0295834785694188,0.99,13,"2026-02-10"
"D3","Pseudocalanus",1,0.0423078221280132,0.974,13,"2026-02-10"
"D4","Pseudocalanus",1,0.0391424153920304,0.992,13,"2026-02-10"
"A2","Acartia hudsonica",1,0.047568623560918,0.821,20,"2026-02-10"
"A4","Acartia hudsonica",2,0.0474803850223546,0.995,20,"2026-02-10"
