"data_sheet","collection_datetime","experiment_datetime","collection_temp","collection_salinity","collection_ph","lab_temp","ramp_start_temp","water_bath","thermometer","tube","species","sex","ctmax","size","fecundity","hours_in_lab"
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,1,"Centropages hamatus","f",24.5,1.12,NA,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,2,"Centropages typicus","m",26.9,1.25,NA,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,3,"Pseudocalanus sp.","f",21.9,1.2,16,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,4,"Calanus finmarchicus","m",22.1,2.46,NA,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,5,"Calanus finmarchicus","f",20.9,2.6,NA,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,6,"Tortanus discaudatus","m",26.8,1.3,NA,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,7,"Calanus finmarchicus","f",23.5,2.51,NA,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,8,"Pseudocalanus sp.","f",21.9,1.27,23,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,9,"Acartia hudsonica","f",25.1,0.92,NA,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,10,"Centropages hamatus","f",26.4,1.08,NA,2
1,2026-01-12 11:00:00,2026-01-12 13:00:00,2.3,33.85,8.4,3,3,1,5,12,"Pseudocalanus sp.","f",22.9,1.23,NA,2
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,1,"Calanus finmarchicus","f",26.7,NA,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,3,"Centropages typicus","f",27.1,1.28,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,4,"Tortanus discaudatus","m",25.8,1.23,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,5,"Acartia hudsonica","f",26.4,0.87,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,6,"Centropages hamatus","f",26.4,1.05,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,7,"Pseudocalanus sp.","f",22.5,1.17,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,8,"Tortanus discaudatus","f",21.8,1.4,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,9,"Acartia hudsonica","f",23.8,0.98,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,10,"Pseudocalanus sp.","f",23.8,1.13,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,11,"Calanus finmarchicus","f",26.4,2.16,NA,6
2,2026-01-12 11:00:00,2026-01-12 17:00:00,2.3,33.85,8.4,3,3,1,5,12,"Tortanus discaudatus","f",24,1.46,NA,6
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,1,"Centropages hamatus","f",26.3,1.07,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,2,"Centropages hamatus","f",25.7,1.06,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,3,"Centropages typicus","f",24.5,1.29,16,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,4,"Centropages typicus","m",26.3,1.09,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,5,"Tortanus discaudatus","m",26.7,1.2,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,6,"Tortanus discaudatus","m",25,1.17,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,7,"Centropages hamatus","f",26.4,1.13,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,8,"Paracalanus parvus","j",22.7,0.96,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,9,"Pseudocalanus sp.","f",23.3,1.19,3,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,10,"Pseudocalanus sp.","f",22.8,1,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,12,"Tortanus discaudatus","f",24.8,1.39,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,2,4,1,"Pseudocalanus sp.","f",22.6,1.18,16,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,2,4,2,"Acartia hudsonica","m",21.4,0.79,NA,29.2833333333333
3,2026-01-12 11:00:00,2026-01-13 16:17:00,2.3,33.85,8.4,3,3,2,4,3,"Pseudocalanus sp.","f",23.5,1.16,22,29.2833333333333
