sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.2.1

File location:	C:\Users\Matthew_Sasaki\OneDrive - UMass Lowell\Lab Admin\Loligo_resp\Respiration Data\2026_03_11_23C_boston.csv
File creation time:	3/11/2026 1:39:34 PM
SDR name:	SDR-1397
Serial number	SEBX0009001397
MUX channel	ON - 03

PARAMETERS
Sig LED current	060
Ref LED current	062
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Is air breather:	False
Salinity [‰]:	32.00
Temperature [°C]:	23.00
Set individual organisms per chamber:	False
Organisms per chamber:	1
Chamber volume [µL]:	500.00
Oxygen unit:	AirSaturation

TREATMENTS
ID	Name	Color
X	Not set	#000e0ebe
0	Blank	#ff000000
4	Acartia hudsonica	#ff007dea

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05	54.05
Phase high [°]:	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77	46.77
Temp. low [°C]:	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60
Temp. high [°C]:	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60	24.60
Treatment ID	4	0	4	0	X	X	0	4	0	4	X	X	4	4	0	0	X	X	0	0	4	4	X	X
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Organisms	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1


Date [DD-MM-YYYY]	Time [hh:mm:ss]	Time stamp	Relative time [hh:mm:ss]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
3/11/2026	1:39:28 PM	134177243681641087	0:00:00	47.67	47.57	47.51	47.55	47.58	47.58	47.59	47.51	47.49	47.36	47.58	47.40	47.57	47.55	47.50	47.48	47.57	47.44	47.47	47.53	47.41	47.44	47.51	47.56	90454	81020	83476	83185	78848	77379	80913	84359	80670	79261	77195	72135	77048	75256	77784	70314	72117	67102	66106	68973	70960	68392	67554	63662	90.2	91.8	92.7	92.1	91.6	91.6	91.4	92.7	93.0	95.1	91.6	94.4	91.8	92.1	92.9	93.2	91.8	93.8	93.3	92.4	94.3	93.8	92.7	91.9
3/11/2026	1:39:58 PM	134177243981633700	0:00:29	47.69	47.57	47.56	47.55	47.57	47.59	47.59	47.52	47.49	47.37	47.58	47.40	47.55	47.54	47.51	47.48	47.56	47.44	47.47	47.53	47.43	47.45	47.51	47.55	90495	81247	83664	83191	78704	77490	81015	84475	80582	79363	77183	72265	76977	75386	77400	70152	72233	67070	66082	68970	71014	68455	67679	63550	89.9	91.8	91.9	92.1	91.8	91.4	91.4	92.5	93.0	94.9	91.6	94.4	92.1	92.2	92.7	93.2	91.9	93.8	93.3	92.4	94.0	93.7	92.7	92.1
3/11/2026	1:40:28 PM	134177244281651248	0:01:00	47.70	47.55	47.59	47.54	47.57	47.58	47.58	47.52	47.49	47.38	47.57	47.39	47.54	47.54	47.50	47.47	47.56	47.43	47.47	47.52	47.42	47.45	47.52	47.55	90548	81085	83923	83162	78695	77283	80941	84438	80616	79233	77087	72200	76953	75301	77705	70297	72142	67124	65995	68983	70946	68631	67555	63474	89.7	92.1	91.4	92.2	91.8	91.6	91.6	92.5	93.0	94.8	91.8	94.6	92.2	92.2	92.9	93.3	91.9	94.0	93.3	92.5	94.1	93.7	92.5	92.1
3/11/2026	1:40:58 PM	134177244581658983	0:01:30	47.72	47.56	47.58	47.55	47.58	47.58	47.58	47.52	47.48	47.39	47.58	47.39	47.56	47.54	47.51	47.48	47.56	47.43	47.47	47.53	47.42	47.45	47.51	47.56	90583	81275	83903	83100	78769	77346	80949	84436	80576	79278	77147	72197	76988	75362	77566	70306	72133	66932	66015	69184	71011	68515	67545	63617	89.4	91.9	91.6	92.1	91.6	91.6	91.6	92.5	93.2	94.6	91.6	94.6	91.9	92.2	92.7	93.2	91.9	94.0	93.3	92.4	94.1	93.7	92.7	91.9
3/11/2026	1:41:28 PM	134177244881657036	0:02:00	47.73	47.56	47.58	47.54	47.58	47.58	47.59	47.53	47.50	47.39	47.58	47.39	47.55	47.55	47.50	47.48	47.56	47.43	47.48	47.53	47.45	47.46	47.51	47.55	90591	81114	83657	83208	78721	77476	81117	84379	80619	79346	77189	72254	76958	75414	77479	70211	72350	67001	66171	69001	71064	68482	67682	63614	89.2	91.9	91.6	92.2	91.6	91.6	91.4	92.4	92.9	94.6	91.6	94.6	92.1	92.1	92.9	93.2	91.9	94.0	93.2	92.4	93.7	93.5	92.7	92.1
3/11/2026	1:41:58 PM	134177245181668732	0:02:30	47.73	47.57	47.58	47.56	47.58	47.59	47.60	47.54	47.49	47.41	47.59	47.40	47.58	47.56	47.51	47.49	47.57	47.44	47.48	47.53	47.47	47.48	47.52	47.56	90597	81267	83900	83080	78772	77334	80955	84515	80582	79335	77155	72177	77081	75294	77556	70300	72227	67055	66095	69085	70960	68499	67606	63463	89.2	91.8	91.6	91.9	91.6	91.4	91.3	92.2	93.0	94.3	91.4	94.4	91.6	91.9	92.7	93.0	91.8	93.8	93.2	92.4	93.3	93.2	92.5	91.9
3/11/2026	1:42:28 PM	134177245481683072	0:03:00	47.74	47.56	47.58	47.56	47.58	47.58	47.59	47.54	47.49	47.41	47.59	47.40	47.59	47.56	47.51	47.48	47.56	47.44	47.48	47.52	47.46	47.48	47.50	47.55	90618	81105	83673	83163	78764	77430	81066	84496	80627	79486	77217	72283	77007	75306	77594	70214	72191	67184	66133	69026	70869	68485	67693	63538	89.1	91.9	91.6	91.9	91.6	91.6	91.4	92.2	93.0	94.3	91.4	94.4	91.4	91.9	92.7	93.2	91.9	93.8	93.2	92.5	93.5	93.2	92.9	92.1
3/11/2026	1:42:58 PM	134177245781677738	0:03:30	47.73	47.55	47.57	47.55	47.57	47.57	47.59	47.54	47.49	47.42	47.57	47.40	47.58	47.56	47.50	47.47	47.57	47.43	47.46	47.52	47.47	47.47	47.51	47.55	90623	81130	83721	83114	78783	77334	81083	84555	80627	79390	77217	72206	76994	75357	77611	70331	72078	66927	66014	69020	70921	68431	67552	63576	89.2	92.1	91.8	92.1	91.8	91.8	91.4	92.2	93.0	94.1	91.8	94.4	91.6	91.9	92.9	93.3	91.8	94.0	93.5	92.5	93.3	93.3	92.7	92.1
3/11/2026	1:43:28 PM	134177246081677484	0:04:00	47.74	47.55	47.57	47.55	47.57	47.57	47.58	47.53	47.49	47.43	47.58	47.39	47.57	47.55	47.50	47.47	47.55	47.43	47.47	47.53	47.46	47.49	47.50	47.54	90650	81156	83667	83154	78763	77362	81128	84453	80548	79424	77254	72234	77007	75495	77634	70366	72176	67087	66067	69005	70908	68525	67559	63619	89.1	92.1	91.8	92.1	91.8	91.8	91.6	92.4	93.0	94.0	91.6	94.6	91.8	92.1	92.9	93.3	92.1	94.0	93.3	92.4	93.5	93.0	92.9	92.2
3/11/2026	1:43:58 PM	134177246381674629	0:04:30	47.76	47.55	47.57	47.55	47.58	47.57	47.58	47.54	47.50	47.44	47.57	47.39	47.59	47.56	47.50	47.47	47.55	47.43	47.48	47.52	47.48	47.49	47.50	47.54	90688	81243	83781	83211	78707	77334	81074	84488	80489	79399	77112	72271	77046	75353	77597	70328	72192	67138	66073	69018	71018	68408	67518	63496	88.8	92.1	91.8	92.1	91.6	91.8	91.6	92.2	92.9	93.8	91.8	94.6	91.4	91.9	92.9	93.3	92.1	94.0	93.2	92.5	93.2	93.0	92.9	92.2
