data_sheet,collection_datetime,experiment_datetime,collection_temp,collection_salinity,collection_ph,lab_temp,ramp_start_temp,water_bath,thermometer,tube,species,sex,ctmax,size,fecundity
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,1,Acartia hudsonica,f,25.2,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,2,Pseudocalanus sp.,f,21.7,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,3,Centropages hamatus,m,21.8,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,4,Centropages hamatus,f,21.8,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,5,Acartia hudsonica,m,23.2,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,6,Acartia hudsonica,f,23.7,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,7,Pseudocalanus sp.,f,22,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,8,Tortanus discaudatus,m,25.3,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,9,Thermometer,NA,NA,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,10,Pseudocalanus sp.,f,22.4,NA,4
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,11,Temora longicornis,m,24.6,NA,NA
9,2026-02-09 13:00:00,2026-02-09 21:00:00,-1.3,35,8.1,3,3,1,5,12,Tortanus discaudatus,m,24.9,NA,NA
